"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","ceftazidime","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.63, CI[0.36, 0.90]","Computational Method","",""
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","ciprofloxacin","","0.5","","0.5","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.78, CI[0.54, 1.01]","Computational Method","",""
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","cefoxitin","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","gentamicin","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.67, CI[0.35, 0.99]","Computational Method","",""
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","imipenem","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.57, CI[0.14, 1.00]","Computational Method","",""
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","tigecycline","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.78, 1.06]","Computational Method","",""
716541,"716541.4","Enterobacter cloacae subsp. cloacae ATCC 13047","piperacillin/tazobactam","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.58, CI[0.32, 0.84]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","ceftazidime","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.63, CI[0.36, 0.90]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","ciprofloxacin","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.78, CI[0.54, 1.01]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","cefoxitin","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","gentamicin","","0.5","","0.5","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.67, CI[0.35, 0.99]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","imipenem","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.57, CI[0.14, 1.00]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","tigecycline","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.78, 1.06]","Computational Method","",""
716541,"716541.43","Enterobacter cloacae subsp. cloacae ATCC 13047","piperacillin/tazobactam","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.58, CI[0.32, 0.84]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","ceftazidime","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.63, CI[0.36, 0.90]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","ciprofloxacin","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.78, CI[0.54, 1.01]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","cefoxitin","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","gentamicin","","0.5","","0.5","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.67, CI[0.35, 0.99]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","imipenem","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.57, CI[0.14, 1.00]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","tigecycline","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.78, 1.06]","Computational Method","",""
716541,"716541.44","Enterobacter cloacae subsp. cloacae ATCC 13047","piperacillin/tazobactam","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.58, CI[0.32, 0.84]","Computational Method","",""
