"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
903923,"903923.3","Acinetobacter baumannii Naval-21","ampicillin","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","gentamicin","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","tobramycin","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","tetracycline","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","levofloxacin","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","cefazolin","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","ertapenem","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","aztreonam","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","cefepime","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","ceftriaxone","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","trimethoprim/sulfamethoxazole","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","amikacin","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","ceftazidime","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","ciprofloxacin","Resistant","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","imipenem","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
903923,"903923.3","Acinetobacter baumannii Naval-21","amikacin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.93, CI[0.91, 0.95]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ampicillin","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.98, 1.01]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","aztreonam","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.90, CI[0.89, 0.92]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ceftazidime","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.87, CI[0.83, 0.91]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","cefazolin","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.97, 1.00]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ciprofloxacin","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.98, CI[0.97, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ceftriaxone","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.99, 1.00]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","cefotaxime","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.97, CI[0.95, 1.00]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","cefoxitin","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","gentamicin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.97, CI[0.95, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","imipenem","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.88, 0.96]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","levofloxacin","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","meropenem","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.89, CI[0.85, 0.92]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","nitrofurantoin","","512.0","","512.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ampicillin/sulbactam","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.91, CI[0.87, 0.96]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","tetracycline","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.96, CI[0.94, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","tobramycin","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.94, CI[0.92, 0.96]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","trimethoprim/sulfamethoxazole","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.71, CI[0.66, 0.76]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","amikacin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.91, 0.98]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ceftazidime","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.90, CI[0.86, 0.94]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ciprofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","gentamicin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.87, 0.95]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","imipenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.98]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","levofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","meropenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","ampicillin/sulbactam","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.93, CI[0.89, 0.97]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","tetracycline","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","tobramycin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.86, 0.91]","Computational Method","",""
903923,"903923.3","Acinetobacter baumannii Naval-21","trimethoprim/sulfamethoxazole","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.80, 0.97]","Computational Method","",""
