"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","amoxicillin/clavulanic acid","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","tetracycline","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","ampicillin","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","cephalothin","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","vancomycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","gentamicin","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","ofloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","chloramphenicol","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","oxacillin","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","erythromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","rifampin","Susceptible","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","ciprofloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","daptomycin","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.93, CI[0.87, 0.99]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","oxacillin","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.86, CI[0.77, 0.95]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","vancomycin","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","ciprofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.98, 1.00]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","clindamycin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.98, CI[0.97, 1.00]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","daptomycin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.30, CI[-0.26, 0.85]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","erythromycin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.98, CI[0.97, 0.99]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","fusidic acid","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.97, CI[0.96, 0.98]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","cefoxitin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.97, CI[0.96, 0.99]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","gentamicin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.99, 1.00]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","methicillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.98, 1.00]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.87, 0.96]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","penicillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.91, 0.98]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","tetracycline","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.98, CI[0.97, 1.00]","Computational Method","",""
904779,"904779.3","Staphylococcus aureus subsp. aureus IS-91","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.89, 0.98]","Computational Method","",""
