Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,azithromycin,,0.03125,,0.03125,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.93, CI[0.88, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,ciprofloxacin,,0.0625,,0.0625,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.91, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,clindamycin,,0.25,,0.25,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.90, CI[0.85, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,erythromycin,,0.25,,0.25,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.90, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,florfenicol,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.97, CI[0.94, 1.01]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,gentamicin,,0.5,,0.5,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.96, CI[0.94, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,nalidixic acid,,4.0,,4.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.98, CI[0.96, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,telithromycin,,0.5,,0.5,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.88, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,tetracycline,,0.5,,0.5,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.88, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,ciprofloxacin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.99, CI[0.96, 1.02]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,nalidixic acid,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 1.00, CI[0.98, 1.01]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
1093788,1093788.3,Campylobacter jejuni subsp. jejuni NW,tetracycline,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.98, CI[0.97, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1093788_Campylobacter_jejuni\1093788.3.fasta
