Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1116235,1116235.3,Acinetobacter baumannii AB5256,amikacin,,8.0,,8.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.93, CI[0.91, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,ampicillin,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.99, CI[0.98, 1.01]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,aztreonam,,16.0,,16.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.90, CI[0.89, 0.92]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,ceftazidime,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.87, CI[0.83, 0.91]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,cefazolin,,64.0,,64.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.99, CI[0.97, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,ciprofloxacin,,8.0,,8.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.98, CI[0.97, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,ceftriaxone,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.99, CI[0.99, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,cefotaxime,,64.0,,64.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.97, CI[0.95, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,cefoxitin,,64.0,,64.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 1.00, CI[1.00, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
1116235,1116235.3,Acinetobacter baumannii AB5256,gentamicin,,8.0,,8.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.97, CI[0.95, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1116235_Acinetobacter_baumannii\1116235.3.fasta
